match_id,date,game_mode,queue_id,duration_sec,champion,team_position,win,kills,deaths,assists,kda,level,gold,damage,damage_taken,healing,vision_score,cs,summoner1Id,summoner2Id,items,perk_primary_style,perk_secondary_style
KR_7812983511,2025-09-16 15:44:18,CLASSIC,420,1346,Aatrox,TOP,False,5,5,2,1.4,14,8477,12467,28286,7580,18,158,12,4,"[3053, 6610, 2055, 3047, 1054, 0, 3340]",8000,8400
KR_7809887199,2025-09-14 11:02:31,CLASSIC,420,1804,Orianna,MIDDLE,True,11,2,17,14.0,18,16118,37402,19665,5424,24,280,12,4,"[3108, 3040, 3157, 3171, 3089, 3041, 3363]",8200,8000
KR_7808755194,2025-09-13 16:37:04,CLASSIC,420,1440,TwistedFate,MIDDLE,True,2,3,14,5.33,16,11470,20931,20913,5244,14,202,12,4,"[3100, 1082, 3094, 3010, 1056, 6657, 3363]",8100,8300
KR_7808589076,2025-09-13 15:10:15,CLASSIC,420,1998,Yone,MIDDLE,True,3,6,3,1.0,17,11772,24523,35312,13817,41,247,12,4,"[3153, 3006, 1038, 6673, 1037, 1018, 3364]",8000,8400
KR_7808378205,2025-09-13 13:37:45,CHERRY,1700,1461,Diana,,True,15,6,4,3.17,18,25030,80005,50375,19064,0,3,2201,2202,"[223115, 223111, 223157, 223089, 444637, 223137, 3348]",0,0
KR_7808219654,2025-09-13 12:28:10,CHERRY,1700,1422,Fizz,,True,15,4,6,5.25,18,23100,61676,40194,25818,0,0,2201,2202,"[447112, 446667, 447100, 223089, 444637, 223135, 3348]",0,0
KR_7807052687,2025-09-12 17:57:24,CLASSIC,420,1855,Braum,UTILITY,False,4,8,29,4.12,14,10783,14930,34917,12384,90,30,7,4,"[3869, 3107, 3190, 2055, 3109, 3174, 3364]",8300,8400
KR_7807007974,2025-09-12 17:18:55,CLASSIC,420,1676,Taliyah,MIDDLE,False,0,6,9,1.5,15,9102,24501,18287,2625,30,212,12,4,"[0, 3041, 2420, 3040, 1056, 3111, 3363]",8200,8000
KR_7806984310,2025-09-12 16:51:43,CHERRY,1700,1441,Renata,,False,1,4,11,3.0,16,10820,22666,48481,17035,0,1,2201,2202,"[223107, 4016, 223109, 447102, 226616, 223504, 3348]",0,0
KR_7806934322,2025-09-12 16:22:43,CHERRY,1700,1454,Smolder,,True,14,6,4,3.0,18,33820,76917,42337,11647,0,2,2201,2202,"[223094, 223033, 223139, 223031, 223095, 223072, 3348]",0,0
KR_7806815627,2025-09-12 15:20:12,CLASSIC,420,1603,Tristana,MIDDLE,True,5,3,12,5.67,14,11715,26860,23200,7946,30,186,12,4,"[3032, 3006, 1037, 1053, 1055, 3031, 3340]",8000,8400
KR_7806577625,2025-09-12 13:38:42,CLASSIC,420,1419,Galio,MIDDLE,True,8,4,4,3.0,15,12461,17178,21323,2049,17,198,12,4,"[3152, 3020, 3157, 3041, 1056, 1058, 3340]",8200,8400
KR_7805499358,2025-09-11 17:50:11,CLASSIC,420,1628,Cassiopeia,MIDDLE,True,5,4,11,4.0,18,12665,26270,29503,12726,23,245,12,4,"[3040, 3041, 3157, 3108, 1056, 6657, 3364]",8000,8400
KR_7805435642,2025-09-11 16:40:21,CLASSIC,420,2486,Morgana,MIDDLE,True,4,6,11,2.5,18,16087,25631,33431,7317,49,289,12,4,"[2503, 6653, 1058, 1058, 4628, 3171, 3363]",8200,8000
KR_7805384817,2025-09-11 15:55:21,CLASSIC,420,1632,Orianna,MIDDLE,False,1,7,1,0.29,15,10407,23963,22251,1792,16,237,12,4,"[1058, 3158, 3137, 2503, 1056, 1082, 3340]",8200,8000
KR_7805316597,2025-09-11 15:09:07,CLASSIC,420,1393,Orianna,MIDDLE,False,3,6,4,1.17,13,9665,21359,17136,1744,21,212,12,4,"[3916, 3158, 3157, 2503, 1056, 1082, 3363]",8200,8000
KR_7805263050,2025-09-11 14:33:16,CHERRY,1700,1499,Jhin,,False,5,10,2,0.7,15,10300,30340,28186,5006,0,0,2201,2202,"[223031, 443056, 223005, 226676, 223032, 223033, 3348]",0,0
KR_7805183938,2025-09-11 13:58:13,CHERRY,1700,1678,Qiyana,,False,4,8,11,1.88,18,13430,28112,40298,14019,0,0,2201,2202,"[447112, 223111, 223185, 0, 0, 0, 3348]",0,0
KR_7802876376,2025-09-09 17:22:40,CLASSIC,420,1239,Taliyah,MIDDLE,False,4,4,4,2.0,13,8085,13459,13519,1816,10,182,12,4,"[3040, 3108, 3108, 1082, 1056, 3158, 3363]",8200,8400
KR_7802850057,2025-09-09 16:43:49,CLASSIC,420,1161,Galio,MIDDLE,True,3,1,7,10.0,13,8548,6399,11005,1510,13,189,12,4,"[3152, 1058, 2420, 1082, 1056, 3158, 3340]",8200,8400
KR_7802814583,2025-09-09 16:09:48,CLASSIC,420,1419,Azir,MIDDLE,False,2,6,1,0.5,13,8466,30837,24122,1343,19,173,12,4,"[2031, 3115, 1082, 3020, 1056, 3116, 3363]",8000,8200
KR_7802772160,2025-09-09 15:30:56,CLASSIC,420,1419,Ryze,MIDDLE,True,7,3,14,7.0,16,12230,21625,20270,5272,18,217,12,4,"[3040, 4632, 1052, 6657, 1058, 3111, 3363]",8200,8400
KR_7802727004,2025-09-09 14:57:03,CLASSIC,420,1037,Yone,MIDDLE,True,4,3,7,3.67,12,7244,14348,15236,3369,15,130,12,4,"[3006, 3153, 0, 1018, 1054, 1036, 3364]",8000,8400
KR_7802673293,2025-09-09 14:24:15,CHERRY,1700,1366,Olaf,,False,3,8,1,0.5,13,7748,12226,16232,2123,0,0,2201,2202,"[443064, 0, 0, 0, 0, 0, 3348]",0,0
KR_7802536455,2025-09-09 13:12:29,CHERRY,1700,1388,Yorick,,True,10,5,8,3.6,18,19180,61867,89857,46791,0,1,2201,2202,"[447122, 443056, 223071, 447111, 447112, 447103, 3348]",0,0
KR_7802452290,2025-09-09 12:29:45,CLASSIC,420,1683,Orianna,MIDDLE,False,4,7,5,1.29,16,11600,27419,27223,1900,27,240,12,4,"[4645, 1082, 2420, 2503, 1058, 3020, 3363]",8200,8400
KR_7801651104,2025-09-08 17:48:23,CHERRY,1700,1331,Ornn,,True,10,2,12,11.0,18,18106,33572,32853,11194,0,0,2201,2202,"[447119, 226665, 228001, 443061, 443059, 223084, 3348]",0,0
KR_7801582199,2025-09-08 16:19:06,CLASSIC,420,2110,Galio,MIDDLE,False,7,9,23,3.33,18,16397,44350,48005,6056,17,282,12,4,"[3152, 1058, 3157, 3020, 4633, 8010, 3363]",8200,8400
KR_7801528221,2025-09-08 15:33:29,CLASSIC,420,1474,Morgana,MIDDLE,True,6,3,11,5.67,15,11060,16980,22118,6206,17,191,12,4,"[3152, 2503, 3158, 1082, 6653, 1052, 3364]",8200,8000
KR_7801460499,2025-09-08 14:44:09,CHERRY,1700,1596,Amumu,,False,1,6,6,1.17,16,10404,15336,39702,11440,0,1,2201,2202,"[223039, 223020, 228001, 443061, 228020, 223065, 3348]",0,0
KR_7801413028,2025-09-08 14:14:43,CHERRY,1700,1520,Zyra,,True,10,5,8,3.6,18,23110,56407,17209,2811,0,0,2201,2202,"[447104, 447108, 4015, 3430, 223089, 224645, 3348]",0,0
KR_7801352091,2025-09-08 13:43:45,CHERRY,1700,1619,Xerath,,True,14,4,7,5.25,18,25950,100553,27252,4516,0,0,2201,2202,"[447113, 223089, 447120, 223135, 223102, 224645, 3348]",0,0
KR_7800410070,2025-09-07 18:16:27,CLASSIC,420,1213,MonkeyKing,JUNGLE,True,2,1,5,7.0,12,7624,10718,22838,13143,10,147,11,4,"[3047, 3078, 2055, 2021, 3133, 1028, 3364]",8000,8300
KR_7800340103,2025-09-07 16:38:08,CLASSIC,420,2679,Taliyah,MIDDLE,True,10,5,21,6.2,18,21439,48512,41352,10791,47,356,12,4,"[3102, 3040, 3157, 3137, 3089, 3171, 3363]",8200,8400
KR_7800259728,2025-09-07 15:34:12,CLASSIC,420,943,Taliyah,MIDDLE,True,2,3,4,2.0,11,5838,8313,7898,954,13,124,12,4,"[3040, 2022, 2055, 1001, 1056, 1082, 3363]",8200,8000
KR_7799956621,2025-09-07 12:54:17,CLASSIC,420,1667,TwistedFate,MIDDLE,True,7,1,11,18.0,18,15970,22982,21698,8590,34,276,12,4,"[3094, 6657, 3157, 3173, 1058, 3100, 3340]",8300,8400
KR_7799904113,2025-09-07 12:25:42,CHERRY,1700,1553,Udyr,,True,3,5,4,1.4,15,11680,29115,19742,5934,0,1,2201,2202,"[226676, 226694, 224004, 226697, 223026, 443090, 3348]",0,0
KR_7798700269,2025-09-06 18:27:19,CLASSIC,420,1316,Aurora,MIDDLE,True,9,0,8,17.0,15,10918,22786,17698,7494,29,194,12,4,"[3108, 6653, 2421, 3041, 3113, 3111, 3340]",8100,8400
KR_7798660398,2025-09-06 17:45:51,CLASSIC,420,919,Leblanc,MIDDLE,True,0,0,0,0.0,11,5296,10287,6791,2139,7,142,12,4,"[2031, 6655, 2055, 3020, 1056, 1082, 3364]",8100,8200
KR_7798579670,2025-09-06 16:45:54,CLASSIC,420,1630,MonkeyKing,JUNGLE,False,4,6,4,1.33,13,9072,19348,34386,11033,40,128,11,4,"[6610, 3078, 0, 3047, 1028, 2022, 3364]",8000,8300
KR_7798511373,2025-09-06 16:02:57,CLASSIC,420,1625,Azir,MIDDLE,False,2,5,4,1.2,16,11948,18869,18444,1483,35,285,12,4,"[3020, 3115, 3157, 1082, 1056, 3116, 3363]",8000,8400
KR_7798409344,2025-09-06 15:12:14,CLASSIC,420,1750,Yone,MIDDLE,False,1,6,7,1.33,16,10567,26612,30907,9358,24,233,12,4,"[3153, 3006, 1036, 2019, 1036, 6673, 3364]",8000,8400
KR_7798131676,2025-09-06 13:11:15,CHERRY,1700,1457,Neeko,,True,13,6,11,4.0,18,22850,81958,78071,8166,0,0,2201,2202,"[223115, 223089, 443056, 223124, 223302, 223006, 3348]",0,0
KR_7797318305,2025-09-06 05:26:39,CLASSIC,420,101,Aurora,MIDDLE,True,0,0,0,0.0,1,503,308,167,29,0,0,12,4,"[2003, 0, 0, 0, 1056, 0, 3340]",8100,8200
KR_7796799935,2025-09-05 17:09:46,CLASSIC,420,1174,Aurora,MIDDLE,True,6,2,6,6.0,13,9782,18828,15342,4568,22,181,12,4,"[0, 3118, 3157, 1082, 1056, 3175, 3364]",8100,8200
KR_7796748178,2025-09-05 16:27:38,CHERRY,1700,1430,Seraphine,,True,16,4,5,5.25,18,25700,68938,37368,14220,0,0,2201,2202,"[223116, 223089, 447108, 226657, 226653, 223137, 3348]",0,0
KR_7796694312,2025-09-05 15:53:14,CHERRY,1700,1634,Aatrox,,False,9,6,4,2.17,16,11760,48104,47909,24466,0,3,2201,2202,"[447111, 223072, 443063, 226333, 223156, 223026, 3348]",0,0
KR_7796584323,2025-09-05 14:59:28,CLASSIC,420,1368,Orianna,MIDDLE,True,5,3,12,5.67,15,10768,17373,19339,6182,19,176,12,4,"[4630, 6657, 1058, 3171, 1056, 3040, 3363]",8200,8400
KR_7793463167,2025-09-03 11:19:39,CLASSIC,420,1145,Annie,MIDDLE,False,1,4,1,0.5,12,7194,10708,10642,776,13,160,12,4,"[1011, 3118, 3158, 1026, 1056, 1082, 3363]",8200,8000
KR_7790857706,2025-09-01 11:39:31,CHERRY,1700,1765,Lux,,True,19,3,11,10.0,18,33789,121902,39805,10777,0,0,2201,2202,"[443080, 447113, 443064, 223089, 444637, 223135, 3348]",0,0
KR_7790780213,2025-09-01 10:51:11,CHERRY,1700,1312,Ambessa,,True,16,2,6,11.0,18,20100,84896,60652,20053,0,0,2201,2202,"[226609, 226333, 446691, 223071, 223053, 447111, 3348]",0,0
KR_7790073239,2025-08-31 17:53:28,CHERRY,1700,1488,Kalista,,False,9,7,4,1.86,16,13075,50711,40790,4633,2,1,2201,2202,"[223031, 443069, 223139, 223036, 223172, 223085, 3348]",0,0
KR_7790018138,2025-08-31 16:41:39,CHERRY,1700,1481,Sejuani,,True,14,6,1,2.5,17,14074,41790,56281,21387,0,0,2201,2202,"[447122, 223047, 223143, 446667, 223084, 223110, 3348]",0,0
KR_7786370465,2025-08-29 18:30:24,PRACTICETOOL,3140,90,Lucian,,False,0,0,0,0.0,18,30500,52269,0,0,0,0,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8200
KR_7786363766,2025-08-29 18:25:56,PRACTICETOOL,3140,137,Lucian,,False,0,0,0,0.0,18,30786,79429,45,0,0,12,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8200
KR_7786357956,2025-08-29 18:21:44,PRACTICETOOL,3140,198,Azir,,False,0,0,0,0.0,13,10854,86888,19,4,0,8,12,4,"[3115, 3020, 3116, 0, 0, 0, 3340]",8000,8200
KR_7786357580,2025-08-29 18:17:09,PRACTICETOOL,3140,218,Lucian,,False,0,0,0,0.0,18,31162,253106,92,0,0,22,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8200
KR_7786227977,2025-08-29 16:38:12,CLASSIC,420,1641,Azir,MIDDLE,True,7,3,10,5.67,17,13957,34846,21145,2854,40,251,12,4,"[1058, 3115, 3157, 3175, 8010, 1026, 3340]",8000,8200
KR_7786154696,2025-08-29 15:56:30,CLASSIC,420,1906,Orianna,MIDDLE,False,8,4,8,4.0,17,14893,32787,31808,10243,20,264,12,4,"[2055, 3040, 3157, 6657, 3137, 3111, 3364]",8200,8400
KR_7786131695,2025-08-29 15:41:21,PRACTICETOOL,3140,101,Yone,,False,0,0,0,0.0,18,30503,137244,11,0,0,0,12,4,"[3006, 3153, 6673, 3031, 6672, 3033, 3340]",8000,8400
KR_7786057664,2025-08-29 15:12:34,CLASSIC,420,1417,Yone,MIDDLE,True,0,3,5,1.67,15,8821,19461,16257,6985,27,210,12,4,"[3153, 6333, 2055, 3006, 1055, 0, 3363]",8000,8400
KR_7786005271,2025-08-29 14:45:50,CHERRY,1700,1554,Kalista,,False,4,9,1,0.56,15,11070,32231,21989,3534,0,0,2201,2202,"[223153, 223085, 223139, 223036, 223031, 443055, 3348]",0,0
KR_7785980615,2025-08-29 14:36:05,PRACTICETOOL,3140,217,Lucian,,False,0,0,0,0.0,18,20823,263743,5,0,0,4,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8300
KR_7785751949,2025-08-29 13:08:45,CHERRY,1700,1238,Janna,,True,6,5,11,3.4,18,23402,38782,32922,21187,0,0,2201,2202,"[223504, 447109, 447105, 4011, 224403, 447101, 3348]",0,0
KR_7784668837,2025-08-28 17:21:01,CLASSIC,420,1289,Ryze,MIDDLE,True,9,2,9,9.0,14,11375,21243,19096,5431,15,176,12,4,"[1058, 6657, 2420, 3040, 1056, 3171, 3364]",8200,8400
KR_7784657896,2025-08-28 17:06:54,PRACTICETOOL,3140,64,Lucian,,False,0,0,0,0.0,18,30500,47299,0,0,0,0,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8400
KR_7784649879,2025-08-28 16:58:05,PRACTICETOOL,3140,121,Lucian,,False,0,0,0,0.0,18,30586,43670,44,0,0,3,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8400
KR_7784636753,2025-08-28 16:44:52,PRACTICETOOL,3140,232,Yone,,False,0,0,0,0.0,18,31065,50737,36,13,0,15,12,4,"[3006, 3153, 6673, 3031, 3091, 3032, 3340]",8000,8400
KR_7784592144,2025-08-28 16:09:01,CLASSIC,420,1720,Yone,MIDDLE,True,2,4,10,3.0,16,13010,20952,30250,8855,36,239,12,4,"[6673, 3153, 0, 1018, 1037, 3006, 3364]",8000,8400
KR_7784577394,2025-08-28 15:55:58,PRACTICETOOL,3140,128,Ambessa,,False,0,0,0,0.0,18,30621,22387,0,0,0,4,12,4,"[6692, 3161, 3047, 6333, 3071, 6699, 3340]",8400,8000
KR_7784564895,2025-08-28 15:50:10,PRACTICETOOL,3140,80,Ambessa,,False,0,0,0,0.0,6,500,6422,0,0,0,0,12,4,"[1055, 2003, 0, 0, 0, 0, 3340]",8400,8000
KR_7784499494,2025-08-28 15:13:48,CLASSIC,420,1419,Ambessa,MIDDLE,True,2,2,10,6.0,15,9492,26189,20220,6263,18,199,12,4,"[3071, 6692, 3047, 2019, 1055, 0, 3364]",8400,8000
KR_7784436878,2025-08-28 14:41:31,CLASSIC,420,1008,TwistedFate,MIDDLE,True,7,1,1,8.0,12,9906,11245,9529,2310,8,154,12,4,"[6657, 3100, 3086, 3158, 1056, 1082, 3340]",8300,8200
KR_7784367402,2025-08-28 14:05:13,CHERRY,1700,1675,Vex,,True,15,10,5,2.0,18,24915,99718,42163,13034,0,2,2201,2202,"[223146, 223089, 223124, 4010, 447101, 223115, 3348]",0,0
KR_7784223365,2025-08-28 13:04:22,CHERRY,1700,1433,Orianna,,True,16,3,8,8.0,18,23850,63176,35638,7801,0,0,2201,2202,"[223102, 224629, 444636, 223135, 224633, 223089, 3348]",0,0
KR_7783698666,2025-08-28 07:36:42,CHERRY,1700,1501,Corki,,True,14,12,6,1.67,18,21610,121041,75310,11501,0,0,2201,2202,"[447107, 443069, 443056, 446691, 443060, 223031, 3348]",0,0
KR_7783651134,2025-08-28 06:52:48,PRACTICETOOL,3140,552,Lucian,,False,0,0,0,0.0,18,21684,172143,57,39,0,12,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8000,8300
KR_7783590497,2025-08-28 05:59:10,PRACTICETOOL,3140,355,Lucian,,False,0,0,0,0.0,18,31664,223901,166,0,0,36,12,4,"[3508, 3031, 6675, 3158, 6672, 3071, 3340]",8200,8400
KR_7781860650,2025-08-26 17:52:47,CLASSIC,420,911,Galio,MIDDLE,True,5,0,2,7.0,11,7949,6171,8904,1717,13,138,12,4,"[4633, 1082, 0, 3158, 1056, 6664, 3340]",8200,8400
KR_7781823958,2025-08-26 17:05:51,CHERRY,1700,1503,Ekko,,False,4,6,5,1.5,15,11000,22508,32768,9778,0,0,2201,2202,"[443054, 223111, 443064, 222504, 222502, 228020, 3348]",0,0
KR_7781793126,2025-08-26 16:29:19,CLASSIC,420,1919,Azir,MIDDLE,True,6,9,18,2.67,18,13535,41816,31822,2550,37,210,12,4,"[3135, 3115, 2420, 3175, 1056, 3116, 3363]",8000,8200
KR_7781711840,2025-08-26 15:31:10,CLASSIC,420,1466,Ambessa,MIDDLE,True,6,5,8,2.8,15,10359,19771,23560,3402,19,159,12,4,"[3047, 3155, 1028, 3071, 1054, 6692, 3340]",8400,8000
KR_7781665707,2025-08-26 15:00:32,CLASSIC,420,950,Yone,MIDDLE,False,3,8,1,0.5,9,5501,7933,16067,1454,11,92,12,4,"[2031, 3006, 2055, 3153, 1054, 0, 3340]",8000,8400
KR_7781435602,2025-08-26 13:02:58,CHERRY,1700,1551,Nami,,False,5,6,3,1.33,15,9510,21340,24905,14901,0,1,2201,2202,"[223157, 223020, 447105, 224646, 224645, 223089, 3348]",0,0
KR_7781381669,2025-08-26 12:36:36,CHERRY,1700,1301,Malphite,,True,8,5,8,3.2,18,16250,52434,54969,12147,0,0,2201,2202,"[226665, 443054, 447122, 223075, 222502, 223068, 3348]",0,0
KR_7780382103,2025-08-25 16:11:17,CLASSIC,420,1745,Azir,MIDDLE,False,6,6,9,2.5,16,13372,33497,20025,1084,29,255,12,4,"[2055, 3116, 2421, 3175, 3115, 3135, 3363]",8000,8200
KR_7780330745,2025-08-25 15:33:46,CHERRY,1700,1248,Elise,,False,1,5,3,0.8,11,4274,10774,16664,3234,0,0,2201,2202,"[2050, 444637, 4010, 223020, 0, 0, 3348]",0,0
KR_7777078812,2025-08-23 16:23:50,CLASSIC,420,1845,Viego,MIDDLE,True,5,6,15,3.33,17,13338,20229,37641,15011,30,243,12,4,"[6610, 3153, 0, 1037, 3036, 3111, 3364]",8000,8400
KR_7776968823,2025-08-23 15:28:05,CLASSIC,420,2023,Aurora,MIDDLE,True,8,5,13,4.2,18,15539,38468,33648,8026,48,271,12,4,"[6653, 3158, 8010, 3089, 4645, 1082, 3363]",8100,8200
KR_7776807199,2025-08-23 14:12:14,CHERRY,1700,1602,Maokai,,True,6,4,15,5.25,18,18500,36119,97459,59099,0,0,2201,2202,"[226665, 443061, 228001, 223068, 228020, 223111, 3348]",0,0
KR_7775962247,2025-08-23 06:35:20,CHERRY,1700,1538,Pantheon,,True,5,6,15,3.33,18,15961,43126,50860,22428,0,1,2201,2202,"[226694, 223047, 447103, 226610, 447101, 223153, 3348]",0,0
